Device,Brand,Model,OS,Age_Months,Daily_Usage_Hours,Failure_After_Months,Usage_Type,Season,RAM_GB,Storage_GB,Battery_%_At_Failure,Warranty_Status,Previous_Repairs,Symptom1,Symptom2,Symptom3,Faulty_Component,Severity,Repair_Cost_INR,Repair_Time_Days,Solution
Laptop,Lenovo,LOQ 15,macOS Ventura,63,13,57,Business,Monsoon,32,1024,24,Expired,1,Keys Not Working,Sticky Keys,Random Characters Typing,Keyboard,Medium,3746,1,Clean keyboard with compressed air. Replace keyboard if keys are physically damaged.
Smartwatch,Samsung,Galaxy Watch 6 Classic 43mm,Fitbit OS 6,41,4,38,Developer,Monsoon,1,32,90,Under Warranty,4,Cracked Screen,Display Not On,Touch Not Working,Display,High,7280,7,Replace AMOLED display. Use manufacturer service to maintain water resistance.
Smartwatch,Amazfit,T-Rex Ultra,WatchOS 10,84,15,82,Student,Monsoon,1,4,88,Expired,3,Call Audio Not Clear,Voice Assistant Not Working,Mic Not Detected,Microphone,Low,1171,3,Clean microphone opening. Replace microphone module.
Laptop,Dell,G15 Gaming,macOS Sonoma,82,14,70,Normal,Monsoon,8,1024,68,Extended Warranty,4,Cracked Screen,Dead Pixels,No Display,Display,High,14539,2,Replace laptop display panel. Physical damage not covered under warranty.
Desktop,HP,Z4 G5 Workstation,Ubuntu 22.04,64,13,61,Education,Autumn,16,2048,0,Extended Warranty,1,No Internet,LAN Not Detected,Slow Network,Network Card,Medium,971,1,Update NIC drivers. Replace network card if faulty.
Router,Asus,ZenWiFi Pro ET12,OpenWRT,19,8,15,Education,Monsoon,0,0,0,Under Warranty,1,Router Not Starting,No Power LED,Keeps Restarting,Power Adapter,High,763,1,Replace router power adapter with matching voltage/ampere specs.
Tablet,Lenovo,Tab P11 Gen 2,Android 14,5,16,1,Normal,Spring,6,256,94,Under Warranty,2,Low Volume,Distorted Sound,No Audio,Speaker,Low,953,1,Clean speaker grille. Replace speaker unit if hardware fault.
Mobile,OnePlus,12,Android 14,54,3,51,Office,Spring,16,1024,45,Under Warranty,2,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,1327,2,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Laptop,Microsoft,Surface Pro 9,Windows 11 Pro,51,2,44,Student,Summer,64,512,17,Extended Warranty,2,Battery Not Charging To 100%,Charging Slowly,Battery Percentage Inaccurate,Battery,Low,4799,2,Calibrate battery. Update power management drivers. Replace if capacity below 50%.
Printer,Epson,SureColor P700,Windows 10,8,4,7,Education,Autumn,0,0,0,Under Warranty,3,Paper Tray Error,Cannot Load Paper,Tray Not Detected,Paper Tray,Low,548,1,Clean paper tray sensors. Replace tray if cracked.
Mobile,Realme,GT 5 Pro,Android 12,38,12,20,Content Creator,Winter,4,64,56,Under Warranty,1,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,1698,1,Replace charging port module.
Mobile,Oppo,A98,iOS 16,50,10,41,Business,Monsoon,4,128,80,Expired,1,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,784,1,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Printer,Brother,MFC-L2750DW,Windows 10,60,10,52,Office,Monsoon,0,0,0,Expired,3,Printer Not Starting,Error Code On Display,All Lights Blinking,Main Board,Critical,6377,3,Factory reset. Flash firmware. Replace main board if reset fails.
Mobile,Google,Pixel 7 Pro,iOS 17,29,7,26,Developer,Spring,8,256,13,Extended Warranty,4,WiFi Dropping,Slow WiFi,Cannot Connect,WiFi Module,Medium,3846,4,Forget network and reconnect. Update firmware. Replace WiFi module if issue persists.
Mobile,Google,Pixel 6a,iOS 17,37,7,30,Business,Spring,12,128,88,Under Warranty,4,No Power,Random Restart,Touch Not Working,Motherboard,Critical,9103,6,Motherboard-level repair needed. Visit authorized service center immediately.
Printer,Canon,PIXMA MG3620,macOS Sonoma,83,11,72,Business,Summer,0,0,0,Extended Warranty,2,No Print Output,Blank Pages,Horizontal Lines On Print,Printhead,High,1979,4,"Run automated printhead cleaning. If issue persists, replace printhead."
Smart TV,Samsung,Crystal UHD CU8000,Android TV 11,14,9,13,Content Creator,Autumn,1,16,0,Expired,2,WiFi Not Connecting,Slow Streaming,Network Error,WiFi Module,Medium,2499,3,Restart router and TV. Update firmware. Replace WiFi module.
Mobile,Nothing,Phone 2,Android 13,84,5,74,Gaming,Winter,4,512,46,Under Warranty,1,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,2431,1,Clear app data. Factory reset. Replace camera if hardware issue.
Mobile,Oppo,Reno 11,iOS 15,16,9,15,Business,Autumn,8,256,85,Under Warranty,3,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,1468,1,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Mobile,OnePlus,11,Android 13,66,5,65,Education,Monsoon,16,128,74,Under Warranty,4,Slow Charging,Gets Hot While Charging,Charger Gets Hot,Charging IC,High,2315,4,"Try original charger. If issue persists, replace Charging IC."
Mobile,Motorola,G84,Android 14,56,5,40,Business,Autumn,6,1024,72,Extended Warranty,3,Flickering Screen,Lines On Screen,Touch OK,Display,High,5157,2,Replace AMOLED display panel. Use original parts for best quality.
Printer,Brother,MFC-L2750DW,macOS Ventura,84,1,77,Normal,Spring,0,0,0,Under Warranty,2,Spots On Print,Ghost Images,Dark Patches On Pages,Drum Unit,High,3562,3,Replace drum unit. Clean corona wire if accessible.
Mobile,Realme,C35,iOS 15,80,6,64,Normal,Summer,6,256,89,Under Warranty,1,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,2735,3,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Mobile,Xiaomi,POCO F5,Android 13,32,15,23,Student,Winter,8,64,38,Under Warranty,1,Camera Not Opening,Autofocus Failure,Photos Not Saving,Camera,Medium,5636,1,Clear app data. Factory reset. Replace camera if hardware issue.
Laptop,MSI,Titan GT77 HX,Windows 11 Pro,83,16,77,Content Creator,Spring,8,512,18,Extended Warranty,3,Poor Backup,Battery Swelling,Heating,Battery,Medium,6817,2,Replace laptop battery. Use only manufacturer-approved battery.
Laptop,Asus,ROG Zephyrus G14,Windows 11 Home,58,15,50,Content Creator,Winter,8,256,92,Expired,4,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,3373,4,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Router,Mi,Router 4C,OpenWRT,29,3,17,Office,Summer,0,0,0,Under Warranty,0,No Wired Connection,Port Not Detected,Slow LAN Speed,LAN Port,Medium,1053,2,Check ethernet cable. Try different LAN port. Replace router if multiple ports fail.
Laptop,Microsoft,Surface Book 3,Windows 11 Pro,72,8,68,Normal,Monsoon,32,1024,12,Extended Warranty,3,Camera Not Working,Blurry Video,Black Screen In Camera,Webcam,Low,817,2,Update camera drivers. Check privacy shutter. Replace webcam module.
Mobile,Samsung,Galaxy S24+,iOS 15,30,1,14,Office,Autumn,16,1024,33,Extended Warranty,2,Fast Battery Drain,Battery Swelling,Random Shutdown,Battery,High,2143,3,Replace battery at authorized service center. Cost varies by model.
Laptop,HP,Dragonfly Pro,Linux Mint,42,1,28,Student,Autumn,16,2048,79,Expired,4,Cracked Screen,Dead Pixels,No Display,Display,High,6091,3,Replace laptop display panel. Physical damage not covered under warranty.
Mobile,Samsung,Galaxy S23,Android 14,6,7,1,Student,Monsoon,16,256,63,Under Warranty,4,Fast Battery Drain,Battery Swelling,Random Shutdown,Battery,High,2389,2,Replace battery at authorized service center. Cost varies by model.
Desktop,Apple,iMac 24 M3,Windows 11 Pro,83,15,76,Business,Summer,32,1024,0,Expired,4,Driver Crashes,Black Screen,Monitor No Signal,GPU,Medium,3528,5,Reinstall GPU drivers. Check PCIe slot. Test with different monitor cable.
Desktop,MSI,Aegis Ti5,Fedora 38,18,13,16,Healthcare,Summer,64,1024,0,Under Warranty,1,Date Reset On Boot,BIOS Settings Lost,Boot Error,CMOS Battery,Low,68,1,Replace CMOS battery (CR2032). Reconfigure BIOS settings.
Mobile,Oppo,Reno 11,iOS 17,48,9,39,Normal,Monsoon,16,256,64,Expired,0,No Power,Random Restart,Touch Not Working,Motherboard,Critical,11190,14,Motherboard-level repair needed. Visit authorized service center immediately.
Mobile,Google,Pixel 7a,Android 13,22,4,21,Content Creator,Summer,4,1024,48,Expired,1,Slow Charging,Charging Stops,Port Damaged,Charging Port,Medium,1609,2,Replace charging port module.
Mobile,OnePlus,11,iOS 16,25,11,22,Student,Winter,8,1024,77,Expired,4,Loose Connection,Intermittent Charging,Cable Moves Loosely,Charging Port,Medium,1800,2,"Clean charging port with compressed air. If issue persists, replace port."
Smartwatch,Garmin,Epix Pro Gen 2,Fitbit OS 6,7,15,3,Gaming,Winter,2,8,18,Under Warranty,4,Call Audio Not Clear,Voice Assistant Not Working,Mic Not Detected,Microphone,Low,2314,3,Clean microphone opening. Replace microphone module.
Laptop,Lenovo,LOQ 15,Windows 10,64,8,61,Content Creator,Monsoon,32,512,72,Extended Warranty,1,No POST,USB Failure,Random Freeze,Motherboard,Critical,14827,8,Motherboard-level repair required. Consult authorized technician immediately.
Laptop,Acer,ConceptD 7,Windows 11 Home,35,10,32,Business,Winter,64,256,53,Expired,2,Cursor Jumping,Touchpad Not Responding,Click Not Working,Touchpad,Low,1971,2,Update touchpad drivers. Adjust sensitivity. Replace touchpad if hardware fault.
Mobile,Realme,Narzo 60 Pro,Android 14,36,14,32,Normal,Autumn,8,512,63,Under Warranty,0,Flickering Screen,Lines On Screen,Touch OK,Display,High,9385,2,Replace AMOLED display panel. Use original parts for best quality.
Mobile,Vivo,V29,Android 13,50,4,43,Healthcare,Spring,8,64,9,Expired,0,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,3371,3,"Clear camera cache. If issue persists, replace camera module."
Mobile,Apple,iPhone 16 Pro,iOS 15,35,5,22,Student,Summer,6,1024,39,Under Warranty,3,No Power,Random Restart,Touch Not Working,Motherboard,Critical,10091,13,Motherboard-level repair needed. Visit authorized service center immediately.
Printer,Samsung,Xpress M2070W,Windows 11,56,8,43,Normal,Spring,0,0,0,Extended Warranty,3,Smudged Print,Toner Not Sticking,Burning Smell From Printer,Fuser Unit,High,5357,4,Allow printer to cool. Replace fuser unit. Only for laser printers.
Laptop,Microsoft,Surface Laptop 5,Ubuntu 22.04,81,12,74,Education,Spring,16,256,29,Expired,3,Lines On Screen,Display Flickering,Backlight Failure,Display,High,11784,4,Check display cable connection. Replace display panel if faulty.
Router,Asus,RT-AX86U Pro,RouterOS,7,8,3,Office,Autumn,0,0,0,Extended Warranty,0,Router Not Starting,No Power LED,Keeps Restarting,Power Adapter,High,997,1,Replace router power adapter with matching voltage/ampere specs.
Printer,HP,LaserJet MFP M428fdw,Windows 10,9,10,2,Developer,Spring,0,0,0,Under Warranty,3,Printer Offline,Cannot Print Wirelessly,Network Not Found,WiFi Module,Medium,2311,3,Reset network settings. Reconnect to WiFi. Update printer firmware.
Smartwatch,Amazfit,Falcon,Wear OS 3,19,11,15,Business,Winter,2,16,80,Extended Warranty,0,Not Charging,Loose Charger,Wireless Charging Failure,Charging Port,Medium,1507,1,Clean charging contacts. Try different charger. Replace charging module.
Mobile,Vivo,Y100,iOS 17,43,6,42,Business,Monsoon,16,512,11,Under Warranty,4,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,5266,5,Recalibrate Face ID. Replace face recognition module if hardware fault.
Mobile,Xiaomi,Redmi Note 12,Android 14,68,8,62,Developer,Winter,4,64,34,Extended Warranty,3,No Sound,Calls OK,Headphones Work,Speaker,Medium,1317,2,"Clean speaker grille. If no improvement, replace speaker unit."
Tablet,Xiaomi,Pad 6,iPadOS 16,47,8,37,Content Creator,Monsoon,6,512,31,Under Warranty,2,Home Button Not Working,Touch ID Failure,Button Stuck,Home Button,Low,2230,1,Recalibrate Touch ID. Replace home button assembly.
Router,TP-Link,Deco XE75,OpenWRT,77,5,62,Student,Winter,0,0,0,Expired,3,Unequal Bandwidth,Gaming Lag,Video Buffering Despite Fast Speed,QoS Module,Low,462,1,Enable QoS in router settings. Prioritize gaming/streaming traffic.
Mobile,Nothing,Phone 2,Android 12,83,10,74,Business,Summer,16,1024,77,Under Warranty,3,Face ID Not Working,Cannot Setup Face ID,Recognition Failure,Face ID Sensor,Medium,7934,2,Recalibrate Face ID. Replace face recognition module if hardware fault.
Mobile,Motorola,G34,iOS 17,71,7,56,Developer,Autumn,8,128,18,Under Warranty,3,Not Recognizing,Slow Response,Sensor Not Working,Fingerprint Sensor,Low,1848,1,Clean sensor. Re-register fingerprints. Replace sensor if faulty.
Printer,Brother,HL-L8360CDW,Windows 10,63,12,53,Gaming,Monsoon,0,0,0,Expired,2,No Print Output,Blank Pages,Horizontal Lines On Print,Printhead,High,4586,1,"Run automated printhead cleaning. If issue persists, replace printhead."
Router,Airtel,Smart Router,Stock Firmware,18,5,16,Developer,Winter,0,0,0,Under Warranty,3,USB Storage Not Detected,Printer Sharing Fails,NAS Not Working,USB Port,Low,1885,5,Reformat USB drive to FAT32/NTFS. Update router firmware. Replace USB port.
Tablet,Lenovo,Tab P12 Pro,Fire OS 8,44,11,26,Normal,Spring,12,32,25,Extended Warranty,1,WiFi Dropping,Cannot Connect,Slow WiFi,WiFi Module,Medium,1399,3,Update firmware. Reset network settings. Replace WiFi module.
Smart TV,TCL,P745,WebOS 22,64,6,59,Normal,Autumn,1,8,0,Expired,0,WiFi Not Connecting,Slow Streaming,Network Error,WiFi Module,Medium,2296,3,Restart router and TV. Update firmware. Replace WiFi module.
Desktop,Lenovo,ThinkCentre M90q,Windows 10 Pro,47,10,30,Student,Spring,32,4096,0,Under Warranty,2,POST Failure,Beep Sound,Random Blue Screen,RAM,High,637,2,Reseat RAM. Test each stick individually. Replace faulty module.
Mobile,Samsung,Galaxy S23,Android 13,57,8,51,Gaming,Winter,4,1024,32,Expired,4,Poor Backup,Heating While Charging,Battery Percentage Jumping,Battery,Medium,3435,2,"Recalibrate battery. If issue persists, replace battery."
Laptop,Samsung,Galaxy Book 4,Windows 11 Home,22,8,10,Office,Summer,8,2048,54,Under Warranty,4,WiFi Not Connecting,Dropping Connection,Slow WiFi,WiFi Card,Medium,2403,3,Update WiFi drivers. Replace WiFi/Bluetooth combo card.
Laptop,Lenovo,IdeaPad Gaming 3,macOS Sonoma,49,10,47,Business,Monsoon,32,512,49,Expired,0,WiFi Not Connecting,Dropping Connection,Slow WiFi,WiFi Card,Medium,1541,3,Update WiFi drivers. Replace WiFi/Bluetooth combo card.
Tablet,OnePlus,Pad Go,Fire OS 8,4,16,2,Developer,Winter,6,256,58,Under Warranty,1,Home Button Not Working,Touch ID Failure,Button Stuck,Home Button,Low,2251,3,Recalibrate Touch ID. Replace home button assembly.
Laptop,Microsoft,Surface Laptop 5,Ubuntu 22.04,70,5,65,Content Creator,Winter,8,1024,85,Under Warranty,1,Charging Failure,Adapter Fault,Power Fluctuation,Charger,Medium,2075,1,Try different power outlet. Replace charger/adapter. Check charging port.
Smartwatch,Apple,Watch Ultra 2,Wear OS 3,78,15,77,Healthcare,Autumn,1,8,59,Expired,0,Call Audio Not Clear,Voice Assistant Not Working,Mic Not Detected,Microphone,Low,1976,2,Clean microphone opening. Replace microphone module.
Router,D-Link,DIR-X1860,DD-WRT,31,4,23,Content Creator,Winter,0,0,0,Under Warranty,4,Router Not Starting,No Power LED,Keeps Restarting,Power Adapter,High,901,1,Replace router power adapter with matching voltage/ampere specs.
Mobile,Apple,iPhone 15 Pro Max,iOS 17,11,2,4,Normal,Winter,6,1024,31,Expired,1,Not Charging,Adapter OK,Battery Healthy,Charging IC,High,3702,5,Replace Charging IC chip — requires motherboard-level repair.
Desktop,Asus,ProArt PA90,Windows 11 Home,22,10,6,Healthcare,Winter,128,4096,0,Extended Warranty,3,Thermal Warning,Loud Noise,CPU Overheating,CPU Fan,High,1735,1,Clean CPU fan and heatsink. Replace thermal paste. Replace fan if noisy.
Desktop,HP,Omen 45L,Linux Mint 21,34,8,18,Developer,Monsoon,32,256,0,Under Warranty,4,Clicking Sound,Slow Performance,File Corruption,HDD,High,1209,3,Backup data immediately. Replace HDD. Run bad sector scan.
Mobile,Nothing,Phone 2a,Android 13,50,2,41,Developer,Spring,4,128,68,Under Warranty,0,Voice Breaks,Recorder Not Working,Calls Connected,Microphone,Medium,1548,1,Clean microphone. Replace microphone module if issue persists.
Router,TP-Link,Archer AX21,DD-WRT,33,6,16,Normal,Spring,0,0,0,Extended Warranty,2,No Wired Connection,Port Not Detected,Slow LAN Speed,LAN Port,Medium,1335,2,Check ethernet cable. Try different LAN port. Replace router if multiple ports fail.
Mobile,Oppo,Reno 10 Pro,iOS 17,26,15,20,Content Creator,Autumn,6,512,10,Expired,2,Low Volume,Distorted Audio,Crackling Sound,Speaker,Low,2142,1,Clean speaker. Update audio drivers. Replace if faulty.
Smart TV,Sony,Bravia XR X90L,Tizen 6.5,46,12,35,Healthcare,Autumn,1,16,0,Under Warranty,1,Dim Display,Dark Patches,Backlight Flickering,Backlight,High,3514,3,Replace LED backlight strips or backlight driver board.
Mobile,Samsung,Galaxy A34,Android 13,8,2,4,Office,Monsoon,12,256,86,Under Warranty,3,No Power,Random Restart,Touch Not Working,Motherboard,Critical,8201,8,Motherboard-level repair needed. Visit authorized service center immediately.
Router,Jio,AirFiber 5G Router,RouterOS,58,5,56,Gaming,Spring,0,0,0,Under Warranty,3,Weak WiFi Signal,Dead Zones,Slow Speed,WiFi Antenna,High,4862,2,Reposition router to central location. Upgrade to WiFi extender or mesh system.
Mobile,Oppo,Find X7,Android 14,25,1,17,Normal,Spring,8,128,76,Extended Warranty,4,Blurry Photos,Camera App Crash,Black Screen In Camera,Camera,Medium,3549,3,"Clear camera cache. If issue persists, replace camera module."
Mobile,Apple,iPhone 15 Pro Max,Android 14,6,8,3,Gaming,Summer,4,1024,36,Under Warranty,3,Bluetooth Not Connecting,Drops Connection,Cannot Pair,Bluetooth Module,Low,2495,4,Toggle Bluetooth off/on. Clear paired devices. Factory reset if issue persists.
Smart TV,Samsung,Neo QLED 4K QN95C,Google TV,61,12,49,Developer,Winter,2,16,0,Extended Warranty,1,WiFi Not Connecting,Slow Streaming,Network Error,WiFi Module,Medium,3267,4,Restart router and TV. Update firmware. Replace WiFi module.
Mobile,Realme,GT 5,Android 12,61,11,55,Education,Summer,4,512,36,Under Warranty,3,Voice Breaks,Recorder Not Working,Calls Connected,Microphone,Medium,957,1,Clean microphone. Replace microphone module if issue persists.
Desktop,MSI,Aegis Ti5,Ubuntu 22.04,43,15,28,Office,Autumn,8,2048,0,Extended Warranty,2,Clicking Sound,Slow Performance,File Corruption,HDD,High,1417,2,Backup data immediately. Replace HDD. Run bad sector scan.
Laptop,HP,Victus 15,Windows 10,59,1,47,Business,Winter,64,256,7,Extended Warranty,3,Slow Boot,Application Lag,Disk Health Alert,SSD,Medium,6502,3,Run SMART diagnostics. Defrag if HDD. Replace SSD if health below 70%.
Mobile,Oppo,Find X7 Pro,Android 13,77,7,76,Education,Winter,8,256,39,Under Warranty,2,No Network,SIM Not Detected,Network Dropping,SIM Card Slot,Medium,394,2,Clean SIM slot. Try different SIM. Replace SIM tray if bent.
Desktop,Asus,ProArt PA90,Ubuntu 22.04,24,8,17,Business,Monsoon,32,2048,0,Extended Warranty,2,No Audio,Crackling Sound,Audio Device Not Found,Sound Card,Low,662,1,Update audio drivers. Check connections. Replace sound card if needed.
Printer,HP,Color LaserJet Pro M255dw,Windows 10,23,12,14,Normal,Spring,0,0,0,Extended Warranty,1,Light Print,Toner Low Warning,Streaks On Print,Toner Cartridge,Low,2242,1,Shake toner cartridge gently. Replace if empty.
